template_fraction,run,runtime_seconds
0/60000,1,17.946
0/60000,2,15.944
0/60000,3,15.705
0/60000,4,15.911
0/60000,5,15.736
0/60000,6,15.790
0/60000,7,15.743
0/60000,8,15.827
0/60000,9,15.701
0/60000,10,15.717
0/30000,1,17.681
0/30000,2,17.737
0/30000,3,18.142
0/30000,4,17.698
0/30000,5,17.693
0/30000,6,17.666
0/30000,7,17.529
0/30000,8,17.903
0/30000,9,21.491
0/30000,10,17.652
0/10000,1,24.398
0/10000,2,27.234
0/10000,3,32.242
0/10000,4,24.623
0/10000,5,24.230
0/10000,6,24.247
0/10000,7,24.596
0/10000,8,24.569
0/10000,9,26.115
0/10000,10,25.820
0/5000,1,34.903
0/5000,2,35.491
0/5000,3,41.595
0/5000,4,44.068
0/5000,5,46.158
0/5000,6,47.285
0/5000,7,36.288
0/5000,8,34.580
0/5000,9,34.482
0/5000,10,34.470
0/3000,1,56.151
0/3000,2,53.307
0/3000,3,48.184
0/3000,4,47.550
0/3000,5,47.830
0/3000,6,61.062
0/3000,7,55.696
0/3000,8,49.508
0/3000,9,47.730
0/3000,10,49.122
0/2000,1,63.613
0/2000,2,62.938
0/2000,3,63.131
0/2000,4,63.480
0/2000,5,78.190
0/2000,6,76.650
0/2000,7,69.854
0/2000,8,64.707
0/2000,9,69.321
0/2000,10,69.605
0/1000,1,125.217
0/1000,2,126.649
0/1000,3,125.485
0/1000,4,123.770
0/1000,5,126.790
0/1000,6,124.268
0/1000,7,121.694
0/1000,8,120.573
0/1000,9,121.312
0/1000,10,119.419
