template_fraction,run,runtime_seconds
0/60000,1,4.524
0/60000,2,4.481
0/60000,3,4.439
0/60000,4,4.476
0/60000,5,4.195
0/60000,6,4.355
0/60000,7,4.373
0/60000,8,4.479
0/60000,9,4.207
0/60000,10,4.285
0/30000,1,5.777
0/30000,2,5.473
0/30000,3,5.774
0/30000,4,5.528
0/30000,5,5.855
0/30000,6,5.613
0/30000,7,5.918
0/30000,8,5.502
0/30000,9,5.544
0/30000,10,5.542
0/10000,1,10.394
0/10000,2,10.499
0/10000,3,10.535
0/10000,4,10.245
0/10000,5,10.304
0/10000,6,10.622
0/10000,7,11.315
0/10000,8,10.425
0/10000,9,10.478
0/10000,10,10.419
0/5000,1,17.638
0/5000,2,17.724
0/5000,3,17.869
0/5000,4,18.030
0/5000,5,17.759
0/5000,6,17.628
0/5000,7,17.804
0/5000,8,17.895
0/5000,9,17.923
0/5000,10,17.810
0/3000,1,28.116
0/3000,2,26.501
0/3000,3,26.747
0/3000,4,27.226
0/3000,5,26.815
0/3000,6,26.831
0/3000,7,26.682
0/3000,8,27.012
0/3000,9,27.310
0/3000,10,26.420
0/2000,1,38.578
0/2000,2,38.060
0/2000,3,38.024
0/2000,4,38.315
0/2000,5,38.400
0/2000,6,38.005
0/2000,7,37.811
0/2000,8,37.574
0/2000,9,38.028
0/2000,10,37.590
0/1000,1,75.848
0/1000,2,77.148
0/1000,3,80.240
0/1000,4,81.573
0/1000,5,80.681
0/1000,6,76.994
0/1000,7,73.405
0/1000,8,80.515
0/1000,9,74.191
0/1000,10,73.798
